Item Type,Item Id,Item Name
skin,1199,Nomad-Knife-Vanilla
skin,1200,Nomad-Knife-Fade
skin,1207,Nomad-Knife-Crimson-Web
skin,1201,Nomad-Knife-Slaughter
skin,1204,Nomad-Knife-Case-Hardened
skin,1202,Nomad-Knife-Blue-Steel
skin,1203,Nomad-Knife-Stained
skin,1205,Nomad-Knife-Forest-DDPAT
skin,1206,Nomad-Knife-Boreal-Forest
skin,1210,Nomad-Knife-Night-Stripe
skin,1208,Nomad-Knife-Scorched
skin,1211,Nomad-Knife-Urban-Masked
skin,1209,Nomad-Knife-Safari-Mesh
skin,1212,Skeleton-Knife-Vanilla
skin,1214,Skeleton-Knife-Slaughter
skin,1220,Skeleton-Knife-Crimson-Web
skin,1217,Skeleton-Knife-Case-Hardened
skin,1222,Skeleton-Knife-Safari-Mesh
skin,1216,Skeleton-Knife-Stained
skin,1215,Skeleton-Knife-Blue-Steel
skin,1224,Skeleton-Knife-Urban-Masked
skin,1223,Skeleton-Knife-Night-Stripe
skin,1218,Skeleton-Knife-Forest-DDPAT
skin,1221,Skeleton-Knife-Scorched
skin,1219,Skeleton-Knife-Boreal-Forest
skin,1213,Skeleton-Knife-Fade
skin,1225,Survival-Knife-Vanilla
skin,1227,Survival-Knife-Slaughter
skin,1226,Survival-Knife-Fade
skin,1233,Survival-Knife-Crimson-Web
skin,1236,Survival-Knife-Night-Stripe
skin,1228,Survival-Knife-Blue-Steel
skin,1230,Survival-Knife-Case-Hardened
skin,1234,Survival-Knife-Scorched
skin,1229,Survival-Knife-Stained
skin,1231,Survival-Knife-Forest-DDPAT
skin,1237,Survival-Knife-Urban-Masked
skin,1232,Survival-Knife-Boreal-Forest
skin,1235,Survival-Knife-Safari-Mesh
skin,1238,Paracord-Knife-Vanilla
skin,1239,Paracord-Knife-Fade
skin,1240,Paracord-Knife-Slaughter
skin,1246,Paracord-Knife-Crimson-Web
skin,1243,Paracord-Knife-Case-Hardened
skin,1241,Paracord-Knife-Blue-Steel
skin,1242,Paracord-Knife-Stained
skin,1244,Paracord-Knife-Forest-DDPAT
skin,1245,Paracord-Knife-Boreal-Forest
skin,1249,Paracord-Knife-Night-Stripe
skin,1247,Paracord-Knife-Scorched
skin,1250,Paracord-Knife-Urban-Masked
skin,1248,Paracord-Knife-Safari-Mesh
skin,1115,Classic-Knife-Vanilla
skin,1116,Classic-Knife-Fade
skin,1123,Classic-Knife-Crimson-Web
skin,1117,Classic-Knife-Slaughter
skin,1126,Classic-Knife-Night-Stripe
skin,1119,Classic-Knife-Stained
skin,1124,Classic-Knife-Scorched
skin,1120,Classic-Knife-Case-Hardened
skin,1118,Classic-Knife-Blue-Steel
skin,1121,Classic-Knife-Forest-DDPAT
skin,1122,Classic-Knife-Boreal-Forest
skin,1127,Classic-Knife-Urban-Masked
skin,1125,Classic-Knife-Safari-Mesh
skin,302,Bayonet-Vanilla
skin,769,Bayonet-Lore
skin,779,Bayonet-Gamma-Doppler
skin,784,Bayonet-Autotronic
skin,774,Bayonet-Black-Laminate
skin,794,Bayonet-Freehand
skin,789,Bayonet-Bright-Water
skin,537,Bayonet-Marble-Fade
skin,536,Bayonet-Doppler
skin,538,Bayonet-Tiger-Tooth
skin,539,Bayonet-Rust-Coat
skin,535,Bayonet-Damascus-Steel
skin,540,Bayonet-Ultraviolet
skin,307,Bayonet-Fade
skin,312,Bayonet-Slaughter
skin,305,Bayonet-Case-Hardened
skin,306,Bayonet-Crimson-Web
skin,314,Bayonet-Urban-Masked
skin,303,Bayonet-Blue-Steel
skin,313,Bayonet-Stained
skin,308,Bayonet-Forest-DDPAT
skin,311,Bayonet-Scorched
skin,309,Bayonet-Night
skin,310,Bayonet-Safari-Mesh
skin,304,Bayonet-Boreal-Forest
skin,722,Bowie-Knife-Vanilla
skin,852,Bowie-Knife-Marble-Fade
skin,851,Bowie-Knife-Doppler
skin,853,Bowie-Knife-Tiger-Tooth
skin,855,Bowie-Knife-Ultraviolet
skin,850,Bowie-Knife-Damascus-Steel
skin,854,Bowie-Knife-Rust-Coat
skin,727,Bowie-Knife-Fade
skin,726,Bowie-Knife-Crimson-Web
skin,730,Bowie-Knife-Safari-Mesh
skin,732,Bowie-Knife-Slaughter
skin,725,Bowie-Knife-Case-Hardened
skin,723,Bowie-Knife-Blue-Steel
skin,729,Bowie-Knife-Night
skin,724,Bowie-Knife-Boreal-Forest
skin,733,Bowie-Knife-Stained
skin,734,Bowie-Knife-Urban-Masked
skin,731,Bowie-Knife-Scorched
skin,728,Bowie-Knife-Forest-DDPAT
skin,452,Butterfly-Knife-Vanilla
skin,858,Butterfly-Knife-Marble-Fade
skin,857,Butterfly-Knife-Doppler
skin,859,Butterfly-Knife-Tiger-Tooth
skin,856,Butterfly-Knife-Damascus-Steel
skin,861,Butterfly-Knife-Ultraviolet
skin,860,Butterfly-Knife-Rust-Coat
skin,457,Butterfly-Knife-Fade
skin,462,Butterfly-Knife-Slaughter
skin,456,Butterfly-Knife-Crimson-Web
skin,459,Butterfly-Knife-Night
skin,455,Butterfly-Knife-Case-Hardened
skin,453,Butterfly-Knife-Blue-Steel
skin,463,Butterfly-Knife-Stained
skin,454,Butterfly-Knife-Boreal-Forest
skin,464,Butterfly-Knife-Urban-Masked
skin,461,Butterfly-Knife-Scorched
skin,458,Butterfly-Knife-Forest-DDPAT
skin,460,Butterfly-Knife-Safari-Mesh
skin,630,Falchion-Knife-Vanilla
skin,864,Falchion-Knife-Marble-Fade
skin,863,Falchion-Knife-Doppler
skin,865,Falchion-Knife-Tiger-Tooth
skin,867,Falchion-Knife-Ultraviolet
skin,862,Falchion-Knife-Damascus-Steel
skin,866,Falchion-Knife-Rust-Coat
skin,635,Falchion-Knife-Fade
skin,633,Falchion-Knife-Case-Hardened
skin,640,Falchion-Knife-Slaughter
skin,634,Falchion-Knife-Crimson-Web
skin,631,Falchion-Knife-Blue-Steel
skin,637,Falchion-Knife-Night
skin,636,Falchion-Knife-Forest-DDPAT
skin,639,Falchion-Knife-Scorched
skin,641,Falchion-Knife-Stained
skin,632,Falchion-Knife-Boreal-Forest
skin,642,Falchion-Knife-Urban-Masked
skin,638,Falchion-Knife-Safari-Mesh
skin,289,Flip-Knife-Vanilla
skin,780,Flip-Knife-Gamma-Doppler
skin,790,Flip-Knife-Bright-Water
skin,770,Flip-Knife-Lore
skin,785,Flip-Knife-Autotronic
skin,775,Flip-Knife-Black-Laminate
skin,795,Flip-Knife-Freehand
skin,531,Flip-Knife-Marble-Fade
skin,530,Flip-Knife-Doppler
skin,532,Flip-Knife-Tiger-Tooth
skin,534,Flip-Knife-Ultraviolet
skin,529,Flip-Knife-Damascus-Steel
skin,533,Flip-Knife-Rust-Coat
skin,294,Flip-Knife-Fade
skin,293,Flip-Knife-Crimson-Web
skin,299,Flip-Knife-Slaughter
skin,292,Flip-Knife-Case-Hardened
skin,300,Flip-Knife-Stained
skin,297,Flip-Knife-Safari-Mesh
skin,290,Flip-Knife-Blue-Steel
skin,296,Flip-Knife-Night
skin,301,Flip-Knife-Urban-Masked
skin,295,Flip-Knife-Forest-DDPAT
skin,298,Flip-Knife-Scorched
skin,291,Flip-Knife-Boreal-Forest
skin,276,Gut-Knife-Vanilla
skin,771,Gut-Knife-Lore
skin,786,Gut-Knife-Autotronic
skin,781,Gut-Knife-Gamma-Doppler
skin,776,Gut-Knife-Black-Laminate
skin,791,Gut-Knife-Bright-Water
skin,796,Gut-Knife-Freehand
skin,524,Gut-Knife-Doppler
skin,528,Gut-Knife-Ultraviolet
skin,525,Gut-Knife-Marble-Fade
skin,526,Gut-Knife-Tiger-Tooth
skin,523,Gut-Knife-Damascus-Steel
skin,527,Gut-Knife-Rust-Coat
skin,278,Gut-Knife-Boreal-Forest
skin,281,Gut-Knife-Fade
skin,287,Gut-Knife-Stained
skin,277,Gut-Knife-Blue-Steel
skin,279,Gut-Knife-Case-Hardened
skin,286,Gut-Knife-Slaughter
skin,282,Gut-Knife-Forest-DDPAT
skin,280,Gut-Knife-Crimson-Web
skin,283,Gut-Knife-Night
skin,284,Gut-Knife-Safari-Mesh
skin,288,Gut-Knife-Urban-Masked
skin,285,Gut-Knife-Scorched
skin,372,Huntsman-Knife-Vanilla
skin,870,Huntsman-Knife-Marble-Fade
skin,869,Huntsman-Knife-Doppler
skin,871,Huntsman-Knife-Tiger-Tooth
skin,868,Huntsman-Knife-Damascus-Steel
skin,872,Huntsman-Knife-Rust-Coat
skin,873,Huntsman-Knife-Ultraviolet
skin,382,Huntsman-Knife-Slaughter
skin,377,Huntsman-Knife-Fade
skin,375,Huntsman-Knife-Case-Hardened
skin,379,Huntsman-Knife-Night
skin,376,Huntsman-Knife-Crimson-Web
skin,373,Huntsman-Knife-Blue-Steel
skin,383,Huntsman-Knife-Stained
skin,378,Huntsman-Knife-Forest-DDPAT
skin,374,Huntsman-Knife-Boreal-Forest
skin,381,Huntsman-Knife-Scorched
skin,380,Huntsman-Knife-Safari-Mesh
skin,384,Huntsman-Knife-Urban-Masked
skin,328,Karambit-Vanilla
skin,772,Karambit-Lore
skin,782,Karambit-Gamma-Doppler
skin,787,Karambit-Autotronic
skin,777,Karambit-Black-Laminate
skin,797,Karambit-Freehand
skin,792,Karambit-Bright-Water
skin,549,Karambit-Marble-Fade
skin,550,Karambit-Tiger-Tooth
skin,548,Karambit-Doppler
skin,551,Karambit-Rust-Coat
skin,547,Karambit-Damascus-Steel
skin,552,Karambit-Ultraviolet
skin,333,Karambit-Fade
skin,332,Karambit-Crimson-Web
skin,338,Karambit-Slaughter
skin,331,Karambit-Case-Hardened
skin,330,Karambit-Boreal-Forest
skin,329,Karambit-Blue-Steel
skin,335,Karambit-Night
skin,339,Karambit-Stained
skin,337,Karambit-Scorched
skin,340,Karambit-Urban-Masked
skin,336,Karambit-Safari-Mesh
skin,334,Karambit-Forest-DDPAT
skin,315,M9-Bayonet-Vanilla
skin,783,M9-Bayonet-Gamma-Doppler
skin,788,M9-Bayonet-Autotronic
skin,773,M9-Bayonet-Lore
skin,778,M9-Bayonet-Black-Laminate
skin,798,M9-Bayonet-Freehand
skin,793,M9-Bayonet-Bright-Water
skin,543,M9-Bayonet-Marble-Fade
skin,542,M9-Bayonet-Doppler
skin,544,M9-Bayonet-Tiger-Tooth
skin,541,M9-Bayonet-Damascus-Steel
skin,546,M9-Bayonet-Ultraviolet
skin,545,M9-Bayonet-Rust-Coat
skin,320,M9-Bayonet-Fade
skin,325,M9-Bayonet-Slaughter
skin,319,M9-Bayonet-Crimson-Web
skin,318,M9-Bayonet-Case-Hardened
skin,316,M9-Bayonet-Blue-Steel
skin,317,M9-Bayonet-Boreal-Forest
skin,322,M9-Bayonet-Night
skin,326,M9-Bayonet-Stained
skin,321,M9-Bayonet-Forest-DDPAT
skin,327,M9-Bayonet-Urban-Masked
skin,324,M9-Bayonet-Scorched
skin,323,M9-Bayonet-Safari-Mesh
skin,974,Navaja-Knife-Vanilla
skin,1074,Navaja-Knife-Doppler
skin,1075,Navaja-Knife-Marble-Fade
skin,1077,Navaja-Knife-Tiger-Tooth
skin,1078,Navaja-Knife-Ultraviolet
skin,1073,Navaja-Knife-Damascus-Steel
skin,1076,Navaja-Knife-Rust-Coat
skin,979,Navaja-Knife-Fade
skin,978,Navaja-Knife-Crimson-Web
skin,977,Navaja-Knife-Case-Hardened
skin,984,Navaja-Knife-Slaughter
skin,975,Navaja-Knife-Blue-Steel
skin,985,Navaja-Knife-Stained
skin,981,Navaja-Knife-Night-Stripe
skin,986,Navaja-Knife-Urban-Masked
skin,983,Navaja-Knife-Scorched
skin,980,Navaja-Knife-Forest-DDPAT
skin,976,Navaja-Knife-Boreal-Forest
skin,982,Navaja-Knife-Safari-Mesh
skin,659,Shadow-Daggers-Vanilla
skin,875,Shadow-Daggers-Doppler
skin,877,Shadow-Daggers-Tiger-Tooth
skin,876,Shadow-Daggers-Marble-Fade
skin,874,Shadow-Daggers-Damascus-Steel
skin,879,Shadow-Daggers-Ultraviolet
skin,878,Shadow-Daggers-Rust-Coat
skin,664,Shadow-Daggers-Fade
skin,669,Shadow-Daggers-Slaughter
skin,662,Shadow-Daggers-Case-Hardened
skin,663,Shadow-Daggers-Crimson-Web
skin,666,Shadow-Daggers-Night
skin,671,Shadow-Daggers-Urban-Masked
skin,660,Shadow-Daggers-Blue-Steel
skin,670,Shadow-Daggers-Stained
skin,665,Shadow-Daggers-Forest-DDPAT
skin,668,Shadow-Daggers-Scorched
skin,667,Shadow-Daggers-Safari-Mesh
skin,661,Shadow-Daggers-Boreal-Forest
skin,948,Stiletto-Knife-Vanilla
skin,1081,Stiletto-Knife-Marble-Fade
skin,1080,Stiletto-Knife-Doppler
skin,1083,Stiletto-Knife-Tiger-Tooth
skin,1079,Stiletto-Knife-Damascus-Steel
skin,1084,Stiletto-Knife-Ultraviolet
skin,1082,Stiletto-Knife-Rust-Coat
skin,953,Stiletto-Knife-Fade
skin,958,Stiletto-Knife-Slaughter
skin,952,Stiletto-Knife-Crimson-Web
skin,951,Stiletto-Knife-Case-Hardened
skin,955,Stiletto-Knife-Night-Stripe
skin,949,Stiletto-Knife-Blue-Steel
skin,956,Stiletto-Knife-Safari-Mesh
skin,959,Stiletto-Knife-Stained
skin,957,Stiletto-Knife-Scorched
skin,954,Stiletto-Knife-Forest-DDPAT
skin,960,Stiletto-Knife-Urban-Masked
skin,950,Stiletto-Knife-Boreal-Forest
skin,987,Talon-Knife-Vanilla
skin,1087,Talon-Knife-Marble-Fade
skin,1086,Talon-Knife-Doppler
skin,1089,Talon-Knife-Tiger-Tooth
skin,1085,Talon-Knife-Damascus-Steel
skin,1088,Talon-Knife-Rust-Coat
skin,1090,Talon-Knife-Ultraviolet
skin,992,Talon-Knife-Fade
skin,997,Talon-Knife-Slaughter
skin,990,Talon-Knife-Case-Hardened
skin,991,Talon-Knife-Crimson-Web
skin,988,Talon-Knife-Blue-Steel
skin,998,Talon-Knife-Stained
skin,994,Talon-Knife-Night-Stripe
skin,999,Talon-Knife-Urban-Masked
skin,996,Talon-Knife-Scorched
skin,993,Talon-Knife-Forest-DDPAT
skin,989,Talon-Knife-Boreal-Forest
skin,995,Talon-Knife-Safari-Mesh
skin,961,Ursus-Knife-Vanilla
skin,1093,Ursus-Knife-Marble-Fade
skin,1095,Ursus-Knife-Tiger-Tooth
skin,1096,Ursus-Knife-Ultraviolet
skin,1092,Ursus-Knife-Doppler
skin,1091,Ursus-Knife-Damascus-Steel
skin,1094,Ursus-Knife-Rust-Coat
skin,966,Ursus-Knife-Fade
skin,971,Ursus-Knife-Slaughter
skin,965,Ursus-Knife-Crimson-Web
skin,964,Ursus-Knife-Case-Hardened
skin,968,Ursus-Knife-Night-Stripe
skin,962,Ursus-Knife-Blue-Steel
skin,972,Ursus-Knife-Stained
skin,973,Ursus-Knife-Urban-Masked
skin,970,Ursus-Knife-Scorched
skin,969,Ursus-Knife-Safari-Mesh
skin,967,Ursus-Knife-Forest-DDPAT
skin,963,Ursus-Knife-Boreal-Forest
